ID_Temps,Date,Année,Mois,Trimestre,Jour_Semaine
1,2024-01-01,2024,1,1,Monday
2,2024-01-02,2024,1,1,Tuesday
3,2024-01-03,2024,1,1,Wednesday
4,2024-01-04,2024,1,1,Thursday
5,2024-01-05,2024,1,1,Friday
6,2024-01-06,2024,1,1,Saturday
7,2024-01-07,2024,1,1,Sunday
8,2024-01-08,2024,1,1,Monday
9,2024-01-09,2024,1,1,Tuesday
10,2024-01-10,2024,1,1,Wednesday
11,2024-01-11,2024,1,1,Thursday
12,2024-01-12,2024,1,1,Friday
13,2024-01-13,2024,1,1,Saturday
14,2024-01-14,2024,1,1,Sunday
15,2024-01-15,2024,1,1,Monday
16,2024-01-16,2024,1,1,Tuesday
17,2024-01-17,2024,1,1,Wednesday
18,2024-01-18,2024,1,1,Thursday
19,2024-01-19,2024,1,1,Friday
20,2024-01-20,2024,1,1,Saturday
21,2024-01-21,2024,1,1,Sunday
22,2024-01-22,2024,1,1,Monday
23,2024-01-23,2024,1,1,Tuesday
24,2024-01-24,2024,1,1,Wednesday
25,2024-01-25,2024,1,1,Thursday
26,2024-01-26,2024,1,1,Friday
27,2024-01-27,2024,1,1,Saturday
28,2024-01-28,2024,1,1,Sunday
29,2024-01-29,2024,1,1,Monday
30,2024-01-30,2024,1,1,Tuesday
31,2024-01-31,2024,1,1,Wednesday
32,2024-02-01,2024,2,1,Thursday
33,2024-02-02,2024,2,1,Friday
34,2024-02-03,2024,2,1,Saturday
35,2024-02-04,2024,2,1,Sunday
36,2024-02-05,2024,2,1,Monday
37,2024-02-06,2024,2,1,Tuesday
38,2024-02-07,2024,2,1,Wednesday
39,2024-02-08,2024,2,1,Thursday
40,2024-02-09,2024,2,1,Friday
41,2024-02-10,2024,2,1,Saturday
42,2024-02-11,2024,2,1,Sunday
43,2024-02-12,2024,2,1,Monday
44,2024-02-13,2024,2,1,Tuesday
45,2024-02-14,2024,2,1,Wednesday
46,2024-02-15,2024,2,1,Thursday
47,2024-02-16,2024,2,1,Friday
48,2024-02-17,2024,2,1,Saturday
49,2024-02-18,2024,2,1,Sunday
50,2024-02-19,2024,2,1,Monday
51,2024-02-20,2024,2,1,Tuesday
52,2024-02-21,2024,2,1,Wednesday
53,2024-02-22,2024,2,1,Thursday
54,2024-02-23,2024,2,1,Friday
55,2024-02-24,2024,2,1,Saturday
56,2024-02-25,2024,2,1,Sunday
57,2024-02-26,2024,2,1,Monday
58,2024-02-27,2024,2,1,Tuesday
59,2024-02-28,2024,2,1,Wednesday
60,2024-02-29,2024,2,1,Thursday
61,2024-03-01,2024,3,1,Friday
